"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"69",1.489336141,0.56768004375,0.27055616793,2.71912842,0.95790562327,0.31452713515,0.527649920175,0.34542569913,0.39205439002,2.170102166,0.62200290899,0.118029796627,1.2476802135,0.37771567468,0.15094847982,2.83978894225,0.61621908899,0.52139375075,0.54649570541,0.929778639814196,0.893503012763742,0.85155906291507,0.0554761504257906,0.070082527847756,0.110225506242685,0.070082527847756,0.184342426574245,0,39547.1182201114,0.0005039975556,65481090.2533626,1e-04,1,0.0831389427185059,22.8898069858551,"4_133_12",4,133,12,1992,FALSE,TRUE,1,0.0539015481775209,3,FALSE
"70",1.928207006,0.67766936984,0.29699884116,2.71144393875,0.78561000775,0.29959537018,0.533013853625,0.325584751241,0.39090022789,2.674100658,0.62320013285,0.144525943,0.91052477225,0.48403830606,0.06282115083,2.85928836825,0.60483394515,0.47336850505,0.53622183755,0.929154368832707,0.88281414742864,0.866699295668579,0.0561464591341477,0.0732955650482079,0.105822570450547,0.0732955650482079,0.198170341857345,0,43720.4183750787,0.0005677368353,65481090.2533626,1e-04,1,0.0745368003845215,22.8883049488068,"4_133_13",4,133,13,1993,TRUE,TRUE,6,0.0554062724789586,3,FALSE
"71",2.27239015725,0.78226564939,0.2520311631,1.91517131125,0.8828114726,0.31717612585,0.50546884153,0.34123585025,0.39357147088,2.3641549035,0.61580179911,0.1303517428,1.296906312,0.49234906229,0.05155472679,2.775026608,0.57718716571,0.5809659674,0.56265149285,0.930881950709383,0.89180962292894,0.874720203403736,0.0549016455591378,0.0751878247624037,0.103022358464859,0.0751878247624037,0.163046296849582,0,34067.6412293029,0.0004203088911,65481090.2533626,1e-04,1,0.0771348476409912,22.8980739116669,"4_133_14",4,133,14,1994,FALSE,TRUE,3,0.0464601519041069,3,FALSE
"72",2.075697674,0.85315837066,0.25422585999,0.5592019649,0.77105437722,0.33338836501,0.5210613605675,0.332956665567,0.38031959644,2.41890241675,0.60521982155,0.110763675817,1.11758216475,0.311956136423,0.06080206893,2.8941453075,0.58210038444,0.5416003323,0.54376229648,0.929562803143297,0.864997190517794,0.881607505895608,0.0557683775569386,0.0780134151987816,0.0998202732078665,0.0780134151987816,0.166808851146141,0,38247.0742013042,0.000484141838,65481090.2533626,1e-04,1,0.0666429996490479,22.9011600017548,"4_133_15",4,133,15,1995,FALSE,TRUE,5,0.0459284755935484,3,FALSE
"73",0.81614849525,0.357575540981,0.28932870921,2.6451523665,0.76062558122,0.34406706646,0.549894880475,0.332386482891,0.38454471028,2.39190564025,0.64046972036,0.123313301023,1.17786755925,0.39291574061,0.2837335347,2.93098413825,0.63773821578,0.4594563001,0.53878482536,0.928551544069122,0.889843524122896,0.855262636447495,0.0561672811314762,0.0703251727690688,0.108745420574052,0.0703251727690688,0.220886663410201,0,45191.5682261508,0.0005902058714,65481090.2533626,1e-04,1,0.0810909271240234,23.0279619693756,"4_134_4",4,134,4,1999,FALSE,TRUE,6,0.0620859239801573,2,FALSE
"74",2.12731424475,0.79130844602,0.25445957208,2.35193569675,0.84898779026,0.31545095125,0.5069945769225,0.350952388228,0.36882670669,2.6275768885,0.41524584295,0.20851995997,1.09275511825,0.42653925641,0.18042489345,2.8652886885,0.61274918976,0.54451332955,0.54220063343,0.929192488459313,0.872858934659387,0.867932039316168,0.0559147829899115,0.0757078320968176,0.105427863409771,0.0757078320968176,0.189428882264289,0,36627.6822673688,0.000459408684,65481090.2533626,1e-04,1,0.0800518989562988,23.0283010005951,"4_134_5",4,134,5,2000,FALSE,TRUE,5,0.0531886366947195,2,FALSE
"75",2.757634578,0.90932500398,0.23101651518,2.197166336,0.85621698097,0.3057538459,0.50990898775,0.340999178892,0.39393280918,2.2600953545,0.60312720361,0.15093579013,1.15308017375,0.50161496593,0.09486388695,2.7418699965,0.58785503831,0.486992755,0.57610536611,0.929178910507029,0.898234677943648,0.855436187610186,0.055159262821379,0.0770299844909035,0.109054317373939,0.0770299844909035,0.133491720983422,0,49041.4618366191,0.0006490057268,65481090.2533626,1e-04,1,0.0779850482940674,23.0337560176849,"4_134_8",4,134,8,2003,FALSE,TRUE,1,0.0440823269860015,3,FALSE
"76",2.30714818375,0.67552801118,0.29025316431,1.48898385425,0.8936375172,0.35280583393,0.54653023775,0.335028614327,0.38634658462,2.37790216225,0.6650878651,0.111785527873,1.18795639125,0.57324248217,0.10185957597,2.75137541975,0.59254137948,0.53969341855,0.56161982744,0.930868274291726,0.889085777381146,0.877632478331662,0.0549070769963887,0.0761284211928814,0.101817880013529,0.0761284211928814,0.175625067453571,0,35828.9045338662,0.0004472088624,65481090.2533626,1e-04,1,0.0827469825744629,23.0427119731903,"4_134_9",4,134,9,2004,FALSE,TRUE,5,0.0486522143752037,3,FALSE
"77",1.30493389925,0.50613683153,0.27427532187,2.64524593025,0.92561896684,0.32850513076,0.5290086237,0.345295967381,0.38744206612,2.9574421945,0.61177903099,0.14314367878,1.2411242565,0.42515475665,0.14175128586,2.7640536485,0.6153398367,0.5428275173,0.55559753858,0.930987966740009,0.894832451609114,0.854838540664857,0.0550504857058625,0.0706826600651814,0.109095272226856,0.0706826600651814,0.209538366472219,0,38717.143235695,0.0004913212549,65481090.2533626,1e-04,1,0.0875020027160645,23.0543019771576,"4_134_11",4,134,11,2006,FALSE,TRUE,5,0.0593564065828256,2,FALSE
"78",1.883358133,0.65153645527,0.28233118053,2.090349094,0.87527337651,0.31189204807,0.51025400519,0.338669932525,0.37756232755,2.70036514625,0.58586075336,0.16341889345,0.9339100865,0.47263735916,0.05419277553,2.887200544,0.59691560955,0.55413280945,0.54053339543,0.929869305250568,0.889209893566299,0.871153037931805,0.0556469093453252,0.0705271413008519,0.102602452102363,0.0705271413008519,0.162174199763093,0,35799.8770896366,0.000446765523,65481090.2533626,1e-04,1,0.0827398300170898,23.0663688182831,"4_134_14",4,134,14,2009,FALSE,TRUE,1,0.0461074955917168,3,FALSE
"79",1.8568323425,0.5917771864,0.28883178507,1.9315167065,0.85621115354,0.3193933591,0.5230600057225,0.317993174528,0.37224885409,2.898581673,0.51442533847,0.35228224294,1.27193984975,0.79044985269,0.14253776079,2.65797400825,0.62401302486,0.5487624481,0.55973661332,0.930909724188842,0.8876563898412,0.874002314321148,0.0548906139765845,0.0766173966603023,0.103317110611134,0.0766173966603023,0.187177846966755,0,29317.4010679382,0.0003477579422,65481090.2533626,1e-04,1,0.069080114364624,23.0570058822632,"4_134_15",4,134,15,2010,FALSE,TRUE,6,0.0518672879814286,2,FALSE
