"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",55834.3778106964,8765997.3162793,0.0304603220350973,55834.3778106964,0.0273720995734748,8765997.3162793,0.0304603220350973,55834.3778106964,0.0273720995734748,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.283501590362404,79325381.875785,0.275641959529947,505257.209399904,0.247695974920683,79325381.875785,0.275641959529947,505257.209399904,0.247695974920683,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.31924546834514,116871.663484922,0.000406108783528497,744.40549990398,0.00036493540835178,116871.663484922,0.000406108783528497,744.40549990398,0.00036493540835178,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.883592348982507,6149409.10481297,0.0213681313032465,245976.364192519,0.120586810445465,6149409.10481297,0.0213681313032465,245976.364192519,0.120586810445465,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.188094228230959,163874637.766565,0.569435976267581,1043787.50169787,0.511703659112849,163874637.766565,0.569435976267581,1043787.50169787,0.511703659112849,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"7","tv_S",312160.38774635,4454533.65922423,0.0154787327534504,28372.8258549314,0.0139094200550626,4454533.65922423,0.0154787327534504,28372.8258549314,0.0139094200550626,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,2591412.14666667,16505.80985138,29493.3723795622,12987.5625281821,9978.5216864396,0.206047362680601,0.198080901243401,0.604546022054489,1.71895993655586,0.581747124370808,1,FALSE,1.87029601461207,0.0409938401466536,1.46244147258977,2.27788649987538,0.199599542311902
"8","ooh_S",326342.544760021,12929183.8814316,0.0449266741102032,82351.4896906471,0.0403717792554061,12929183.8814316,0.0449266741102032,82351.4896906471,0.0403717792554061,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,8239693.86666667,52482.1265392781,87292.7970262254,34810.6704869473,96685.868567709,0.655151359349006,0.574925366266428,1.84226278436618,1.56913401039522,0.637294197547937,1,FALSE,1.54592890282325,0.0149486532326329,1.39847423249253,1.69583122319062,0.709473889793857
"9","print_S",102442.954613393,2808375.11936392,0.009758617011246,17887.739613783,0.00876923875668331,2808375.11936392,0.009758617011246,17887.739613783,0.00876923875668331,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,601634.977777778,3832.06992215145,4565.98044132195,733.910519170494,13689.5444187194,0.0478369682055284,0.124880743357101,3.57236289963981,4.66790532980155,0.214228851989703,1,FALSE,4.24774214352562,0.0833234716561503,3.42032394664787,5.0777854183009,0.0512500478776593
"10","facebook_S",52728.4677363146,418122.085526721,0.00145290181089586,2663.19799698548,0.00130559923143623,418122.085526721,0.00145290181089586,2663.19799698548,0.00130559923143623,TRUE,0.62845673951,0.934574388164493,0.812366020094438,0.975454787096748,0.0576235483751571,0.106707957553373,0.0420630816020276,0.106707957553373,0.113421695334312,0,40755.9907198902,0.0005224608004,65481090.2533626,1e-04,"1_113_9",1,113,9,1689,6,334078.021992166,2127.88549039596,2654.01910033623,526.133609940261,684.78764672537,0.0265630827769259,0.0185927430045117,0.321816023379126,1.25157016625453,0.798996354309575,1,FALSE,1.53015129578653,0.192315131467532,0,3.45187527581136,0.0153200945296603
