"","ctv_S_alphas","ctv_S_gammas","ctv_S_thetas","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"54",1.5211490885,0.68916755969,0.37318040505,2.5702391605,0.82171094668,0.09524452806,2.31613160725,0.71669447904,0.38352736657,0.5031155547975,0.45581356665,0.365916739,2.85877710875,0.96505996508,0.27079394949,0.65800942733,0.881124960189448,0.779795587734153,0.813103103099872,0.0801430289344621,0.112414836631151,0.113967006266141,0.112414836631151,0.529704049514251,0,27097.3721427158,0.0003224001531,64155849.2093182,1e-04,1,0.0856208801269531,24.6426808834076,"5_120_10",5,120,10,1795,FALSE,TRUE,4,0.0752185801289422,1,FALSE
"55",1.71347343025,0.53630149872,0.36424179585,2.80116714125,0.88526952428,0.05260665399,1.83523569125,0.65922703201,0.3748829632,0.5027227481,0.50896181257,0.38111041696,2.83228024725,0.91834032449,0.26845036755,0.65687568002,0.879718146790546,0.784871538647459,0.816817028973893,0.0806158560123653,0.111111640775534,0.11282897533619,0.111111640775534,0.477355380483357,0,33338.0810118426,0.0004196840809,64155849.2093182,1e-04,1,0.0847740173339844,24.8332259654999,"5_121_11",5,121,11,1811,FALSE,TRUE,2,0.055376714655764,1,FALSE
"56",1.609574646,0.54181776822,0.35796863865,2.82021161375,0.89963240666,0.05762491005,1.67201780925,0.73219405705,0.33172267996,0.5045657417175,0.4602084624,0.34997338723,2.97942407175,0.98609339652,0.05937604386,0.65835864476,0.813238035406029,0.650078467595801,0.688056549818528,0.100453397838051,0.141708518954792,0.147236684868883,0.141708518954792,0.383745401365007,0,341015.016298381,0.005215937421,64155849.2093182,1e-04,1,0.081488847732544,24.8358738422394,"5_121_12",5,121,12,1812,FALSE,TRUE,3,0.0457584921927147,1,FALSE
"57",2.20755867225,0.55428631613,0.313849339835,2.91340130975,0.89331828969,0.07954748928,1.924911503,0.97429792521,0.38375622124,0.50973073081,0.40851557549,0.36761329465,2.815236981,0.8863630675,0.21812837367,0.65607696779,0.872568910549698,0.766033567840788,0.766097938142656,0.0829770732675697,0.115874374152199,0.12749557733905,0.115874374152199,0.454472102167382,0,67369.5738821827,0.0009501874844,64155849.2093182,1e-04,1,0.0792419910430908,24.9796669483185,"5_122_6",5,122,6,1821,FALSE,TRUE,2,0.0520930188091999,1,FALSE
"58",2.15995479325,0.56246878448,0.42259994755,2.99247988275,0.94586883074,0.08358989547,1.54548538425,0.59949846836,0.38902028662,0.524745923535,0.37982642542,0.38486314468,2.95759383725,0.92474653794,0.10177136394,0.66034143938,0.655486093137504,0.241251577445102,0.73543360682188,0.133332122870955,0.225131845864417,0.130457555483047,0.225131845864417,0.364785854310315,0,1339984.2748832,0.02078847177,64155849.2093182,1e-04,1,0.0857629776000977,24.9885189533234,"5_122_7",5,122,7,1822,FALSE,TRUE,2,0.0349513359869974,1,FALSE
"59",2.24655666825,0.46816328144,0.452975128,2.837075398,0.87625437478,0.03280340355,0.98286986625,0.49784610818,0.37413592306,0.523048453025,0.365979140241,0.36413747806,2.464116542,0.97347222131,0.16041866808,0.65555898368,0.852915400580679,0.723611774781363,0.753976828366915,0.0891464422362,0.124862244181909,0.125750741682802,0.124862244181909,0.411174498757219,0,154078.528933566,0.002301858889,64155849.2093182,1e-04,1,0.0740861892700195,25.0080900192261,"5_122_14",5,122,14,1829,FALSE,TRUE,3,0.0392734097701471,1,FALSE
"60",1.5863408975,0.51453877487,0.52445119945,2.80116714125,0.88526952428,0.05260665399,1.83523569125,0.65922703201,0.38883899017,0.52577360235,0.42136775854,0.3853452634,2.5163876405,0.88819437292,0.23449930572,0.65528939462,0.880558759440302,0.78997357920001,0.835882074652301,0.0803336624719066,0.108844962343555,0.102707121542017,0.108844962343555,0.535100068469733,0,19096.7071334337,0.0001976809692,64155849.2093182,1e-04,1,0.0888969898223877,25.1764328479767,"5_123_11",5,123,11,1841,FALSE,TRUE,2,0.0754268871933697,1,FALSE
"61",1.609574646,0.54181776822,0.35796863865,2.82021161375,0.89963240666,0.05762491005,1.67201780925,0.73219405705,0.33172267996,0.5045657417175,0.4602084624,0.34997338723,2.97942407175,0.98609339652,0.05937604386,0.65835864476,0.813238035406029,0.650078467595801,0.688056549818528,0.100453397838051,0.141708518954792,0.147236684868883,0.141708518954792,0.383745401365007,0,341015.016298381,0.005215937421,64155849.2093182,1e-04,1,0.083528995513916,25.1763370037079,"5_123_12",5,123,12,1842,FALSE,TRUE,3,0.0457584921927147,NA,NA
"62",2.50380646875,0.54034482703,0.4349457687,2.705888682,0.86879012708,0.06635920158,1.47011687425,0.86793534497,0.36204162592,0.50121962498975,0.47428049681,0.39557372755,2.7719651685,0.82549174468,0.07505630115,0.65585175476,0.724495732248953,0.534079683326035,0.732213631147682,0.122006952626794,0.162116489926264,0.131194848363296,0.162116489926264,0.366523783976391,0,770673.363936484,0.01191371047,64155849.2093182,1e-04,1,0.0820329189300537,25.1821188926697,"5_123_13",5,123,13,1843,FALSE,TRUE,4,0.0354515940629862,1,FALSE
"63",1.7169566325,0.52969295097,0.53338175005,2.7229987745,0.9437336927,0.003817658187,1.4433653375,0.57383855527,0.39614903545,0.51584397007,0.45787241925,0.36388027171,2.73853342575,0.96781077643,0.19791881004,0.65477958779,0.826420097687061,0.679931605798761,0.723758690110716,0.096843423625808,0.134367044074013,0.133249890586932,0.134367044074013,0.399321464452206,0,272295.560728626,0.004144697167,64155849.2093182,1e-04,1,0.081712007522583,25.3209328651428,"5_124_5",5,124,5,1850,FALSE,TRUE,4,0.0404825612301632,1,FALSE
