"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",1389784.90235501,218196229.669736,0.738383397514452,1389784.90235501,0.724097742271254,218196229.669736,0.738383397514452,1389784.90235501,0.724097742271254,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"3","season",0.612419240902592,211061.551140196,0.000714239404830485,1344.34109006493,0.000700420868372509,211061.551140196,0.000714239404830485,1344.34109006493,0.000700420868372509,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.602280922124098,1052029.43517166,0.00356010307695524,43834.5597988191,0.0228384304146595,1052029.43517166,0.00356010307695524,43834.5597988191,0.0228384304146595,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"5","ctv_S",735221.263306287,18732050.5787773,0.0633898906947453,119312.424068645,0.0621634734602606,18732050.5787773,0.0633898906947453,119312.424068645,0.0621634734602606,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,2591412.14666667,16505.80985138,31463.5881287688,14957.7782773887,134187.085720583,0.216399246557892,0.321987651984153,8.12968808733513,7.22851075729976,0.138341082081139,3,FALSE,6.6658514610792,0.331994686009905,3.23781445652407,10.089848005764,0.494387346687198
"6","ooh_S",185596.532486114,7966649.55385846,0.0269594106795004,50742.9907889074,0.0264378214240762,7966649.55385846,0.0269594106795004,50742.9907889074,0.0264378214240762,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,8239693.86666667,52482.1265392781,85923.8161999083,33441.6896606301,60812.5755779084,0.688066368334308,0.136939774598608,1.15872925866287,0.966862323136446,1.03427341832502,3,FALSE,1.11888619813669,0.0779075660137872,0.317649494687713,1.92558262904567,0.66804924261964
"7","facebook_S",407240.260969535,10633354.655209,0.0359836306483086,67728.3736000571,0.0352874479557255,10633354.655209,0.0359836306483086,67728.3736000571,0.0352874479557255,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,334078.021992166,2127.88549039596,2530.4248950966,402.539404700636,78545.1752163869,0.0278976203548508,0.18277811517467,36.912312984366,31.8289559780089,0.0314179327996468,3,FALSE,23.3481665414766,2.4078358782306,0,48.2580726880759,0.168906127594589
"8","search_S",516685.471390941,20844246.2701201,0.0705376321252445,132765.899809682,0.0691729260692785,20844246.2701201,0.0705376321252445,132765.899809682,0.0691729260692785,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,809960,5158.98089171975,6548.38026255327,1389.39937083352,126368.093783749,0.0676367647529497,0.358294458242569,24.4947784138087,25.7349082301843,0.0388577255086967,3,FALSE,18.7289066800292,1.42290498483838,4.07234593677084,33.4396614521836,0.0557475569295465
"9","newsletter",405373.698288493,17869708.4494619,0.060471695855964,113819.799041158,0.0593017375363731,17869708.4494619,0.060471695855964,113819.799041158,0.0593017375363731,TRUE,0.54691406534,0.858416759768271,0.791147045454491,0.808434452503157,0.0803539304311029,0.100113100515055,0.127730162230288,0.100113100515055,0.650660661284754,0,92817.2339323816,0.001346880933,64155849.2093182,1e-04,"1_49_2",1,49,2,722,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,0.53840028975976
"10","(Intercept)",1606649.09634377,252243908.125971,0.867773239733076,1606649.09634377,0.843823228099047,252243908.125971,0.867773239733076,1606649.09634377,0.843823228099047,TRUE,0.58825097486,0.865923296355507,0.85743055767867,0.859208433777705,0.0777208971066819,0.0974280101660079,0.109391509823483,0.0974280101660079,0.61518249580148,0,8018.85926987477,2.499280599e-05,64155849.2093182,1e-04,"1_109_12",1,109,12,1632,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
