"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","ctv_S",1,73,4.23687817855291,0.123727856887698,"[2.13, 6.34]",2.12900376949138,6.34370912389915,1.04986567952364,0.0637821890247985
"2","ctv_S",2,14,4.27663206963742,0.414716618865593,"[0.9, 7.6]",0.899633244153653,7.60424015460895,1.49528203410695,0.0979310199865576
"3","ctv_S",3,25,6.6658514610792,0.331994686009905,"[3.24, 10.09]",3.23781445652407,10.089848005764,1.62643515607957,0.102069735973728
"4","facebook_S",1,73,11.9675820410993,0.394381209416485,"[5.26, 18.69]",5.25619115907391,18.690519020375,3.34643553061138,0.203305039621453
"5","facebook_S",2,14,22.0020394210368,3.47869432135954,"[0, 49.91]",0,49.9063085061395,12.5426107473272,0.757490202028221
"6","facebook_S",3,25,23.3481665414766,2.4078358782306,"[0, 48.26]",0,48.2580726880759,11.7959385720624,0.725757069012128
"7","ooh_S",1,73,1.94342351265669,0.0790535918640906,"[0.6, 3.29]",0.598368580325457,3.29127545914717,0.670791970611026,0.0407524325256945
"8","ooh_S",2,14,0.931539103138844,0.117159250420413,"[0, 1.87]",0,1.8712842367357,0.422423684785727,0.0274356727909813
"9","ooh_S",3,25,1.11888619813669,0.0779075660137872,"[0.32, 1.93]",0.317649494687713,1.92558262904567,0.38166756767195,0.0239522047444632
"10","search_S",1,73,17.3866552302426,0.31610212406263,"[12.01, 22.77]",12.0056165218407,22.7734205422052,2.68221546566588,0.162951868198952
"11","search_S",2,14,19.5430997811331,2.08377577768085,"[2.6, 36.29]",2.60083380000388,36.2886505966736,7.51316041299817,0.492061996188546
"12","search_S",3,25,18.7289066800292,1.42290498483838,"[4.07, 33.44]",4.07234593677084,33.4396614521836,6.97078233063332,0.437463436128075
