"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","ctv_S_thetas","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","search_S_thetas","ctv_S_alphas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","search_S_alphas","ctv_S_gammas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","search_S_gammas","cluster","n","top_sol"
"1","1_47_2",0,0.659442413758101,0.100137401039417,0.12735808931645,0.0803694672704004,0.100137401039417,0.315837811657111,0.329685606358443,0.908765409151208,0.945299267650815,0.719337164244472,0.244443730209061,0.259210299371588,0.434067966020249,0.34564438958488,0.795965182085298,0.454349440349879,0.0875969434796553,0.218344140712678,0.64435960418082,0.252064830828422,4,24,FALSE
"2","1_49_2",0,0.649896507551747,0.100105078990959,0.127577822042888,0.0803587929566166,0.100105078990959,0.31867606771301,0.540469769584802,0.908765409151208,0.945299267650815,0.719337164244472,0.244443730209061,0.279789982977219,0.125135573075734,0.34564438958488,0.795965182085298,0.454349440349879,0.413644112685685,0.680513252888481,0.64435960418082,0.252064830828422,4,24,FALSE
"3","1_81_1",0,0.650430785760227,0.0988545327687276,0.112927506339067,0.0777753914936916,0.0988545327687276,0.863044824599567,0.663131025277608,0.648219470035483,0.911593988053734,0.869195321192407,0.278898330053756,0.205484286967611,0.458500679457897,0.157242155122179,0.900205529132286,0.561413785738627,0.20900324777468,0.992578741317835,0.671002853835129,0.180965551701396,4,24,FALSE
"4","1_96_11",0,0.633856405822541,0.106349931539363,0.121658031019936,0.0828137686091597,0.106349931539363,0.858066338102922,0.8034276195506,0.839977000298074,0.738459038158016,0.837507271119758,0.367275705979129,0,0.563903351397316,0.28682172742798,0.687139465915072,0.552432764996677,0.597992929469676,0.613895211756353,0.602496843622375,0.246577697421889,4,24,FALSE
"5","1_98_11",0,0.6128166265299,0.106777735268551,0.118535456779079,0.0839218584968762,0.106777735268551,0.996637776655108,0.692475958484021,0.839977000298074,0.790899142488134,0.820125512719837,0.43472412140107,0.00611699932371254,0.330134585249963,0.235706156752796,0.610563013698634,0.591427327047604,0.492092823780806,0.613895211756353,0.668579439813844,0.340593428222295,4,24,TRUE
"6","1_114_10",0,0.642801330432994,0.102245831975701,0.133106304946142,0.0785391185039139,0.102245831975701,0.949243691349048,1,0.76490825062764,0.836985540517206,0.39587463032835,0.380851919889296,0.0879553685709996,0.085092425332748,0.354304234950021,0.748116693117955,0.379196100173245,0.92656101027466,0.244138212563051,0.504640357239329,0.891333816802453,4,24,FALSE
"7","1_115_13",0,0.663129600486825,0.0996430747399116,0.120514213685828,0.0761771104811442,0.0996430747399116,0.0863477501349176,0.187888606453984,0.872564805663582,0.79682316868913,0.846167249155386,0.0839979996977869,0.325805186858516,0.36897573745481,0.0920819999661123,0.70588610380577,0.488793606940026,0.277721420596058,0.875480835870342,0.526673526997781,0.13291862295923,4,24,FALSE
"8","1_116_3",0,0.688505560740029,0.0980387779506416,0.115912651415362,0.0807215975870924,0.0980387779506416,0.445964602299832,0.917709822992468,0.941415081314889,0,0.143233118656999,0.235648232436084,0.10401218022611,0.345363430978264,0.291702685174864,0.181755914806362,0.364470720622733,0.902644658633029,0.480251310252117,0.682372147117294,0.767862098882818,4,24,FALSE
"9","1_117_4",0,0.706549263106353,0.098515161048997,0.114699675627882,0.0780020128752943,0.098515161048997,0.664391904432259,0.871172445524017,0.604394547995605,0.766975947871197,0.793290728535723,0.154899509777032,0.378943741954744,0.248715939507844,0.664226596410282,0.779713372870174,0.500507313568834,0.434090552642938,0.804803056956038,0.679353096894984,0.11646129776643,4,24,FALSE
"10","1_117_13",0,0.665813224532583,0.0995497674508339,0.120258281712889,0.0761805044392403,0.0995497674508339,0.0863477501349176,0.187888606453984,0.747607505892116,0.928808829363144,0.846167249155386,0.0839979996977869,0.325805186858516,0.36897573745481,0.099223782578637,0.70588610380577,0.488793606940026,0.277721420596058,0.874503247180415,0.706453631551683,0.13291862295923,4,24,FALSE
"11","1_118_3",0,0.688675558593442,0.0986743841020171,0.115617871015975,0.080762210479089,0.0986743841020171,0.469869329191008,0.917709822992468,0.941415081314889,0,0.143233118656999,0.26191938750681,0.0557774831287052,0.345363430978264,0.291702685174864,0.181755914806362,0.239939660985996,0.902644658633029,0.480251310252117,0.682372147117294,0.767862098882818,4,24,FALSE
"12","1_121_13",0,0.660087585382742,0.098762432185915,0.120954423815238,0.0766746098604218,0.098762432185915,0.0863477501349176,0.187888606453984,0.872564805663582,0.79682316868913,0.846167249155386,0.203711442735524,0.325805186858516,0.36897573745481,0.0920819999661123,0.70588610380577,0.662553774024848,0.277721420596058,0.875480835870342,0.526673526997781,0.13291862295923,4,24,FALSE
"13","1_121_14",0,0.63377529593617,0.107239168277649,0.116061447136822,0.0787475528711629,0.107239168277649,0.992657207701824,0.434371924849215,0.950594838165806,0.769492946858367,0.78614919515106,0.473484913086504,0.233828628788873,0.327098314750744,0.244686690095393,0.654996035493605,0.487063494630568,0,0.778568228362915,0.615959466098924,0.180793903691227,4,24,FALSE
"14","1_125_1",0,0.685232325454226,0.0911282884874054,0.114080748933152,0.0774112665418854,0.0911282884874054,0,0.66224767329756,0.856598248269237,0.694318317648849,0.528551764749179,0.224716776262526,0.171924893711014,0.309185890917275,0.21031102500562,0.496838940317016,0.846608815205277,0.374183853800663,0.666970232429608,0.787700730789694,0.279026764051884,4,24,FALSE
