"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","ctv_S",1,19,0.657106266257836,0.0296827646315466,"[0.38, 0.93]",0.384782520435711,0.928434635114891,0.125933304931985,0.00803554267215303
"2","ctv_S",2,26,0.626518404136961,0.0337890744812876,"[0.27, 0.98]",0.271608680265125,0.981289212231872,0.168945372406438,0.010581528048279
"3","ctv_S",3,29,0.548463918240379,0.029707861260363,"[0.22, 0.88]",0.220149890497281,0.875565322791748,0.157199225757061,0.00979609983645038
"4","ctv_S",4,24,0.828743244536143,0.0461306631711138,"[0.36, 1.3]",0.360773002459638,1.29577799497705,0.221234888627348,0.0139138865633546
"5","facebook_S",1,19,1.49266834179851,0.059085150029339,"[0.95, 2.03]",0.951282060120342,2.03345102781306,0.250677061519021,0.0159951827346542
"6","facebook_S",2,26,0.600339387316954,0.0560698548662346,"[0.01, 1.19]",0.00999973023695411,1.18764916395566,0.280349274331173,0.0175590705291016
"7","facebook_S",3,29,2.18822770061579,0.242898142057911,"[0, 4.87]",0,4.87013196773874,1.28529615560974,0.0751588311005881
"8","facebook_S",4,24,3.14568536493353,0.134902246604579,"[1.78, 4.51]",1.7780298646404,4.51231256092904,0.646968446831947,0.0406890867671973
"9","ooh_S",1,19,0.248243442534084,0.00465113288713023,"[0.21, 0.29]",0.205673074774485,0.290860497884489,0.0197330856281373,0.001259127215821
"10","ooh_S",2,26,0.143423166354455,0.00740523322033376,"[0.07, 0.22]",0.0655072661893654,0.221041264436482,0.0370261661016688,0.00231905384293388
"11","ooh_S",3,29,0.127503862891691,0.011335341723952,"[0, 0.25]",0.002074765607398,0.252155302576984,0.0599809904550225,0.00373780321090536
"12","ooh_S",4,24,0.0849587244182045,0.00597599294436538,"[0.02, 0.15]",0.0242455578281784,0.145370702236015,0.0286598553456819,0.00180247328383031
"13","search_S",1,19,1.87458974340937,0.0512030136990264,"[1.41, 2.34]",1.40718839102488,2.34499277080419,0.217235989222615,0.0138613773558034
"14","search_S",2,26,1.43510213033817,0.0530944708540687,"[0.87, 1.99]",0.874765820365883,1.98992250632589,0.265472354270344,0.0166272868131383
"15","search_S",3,29,1.63134236722878,0.128365609779062,"[0.21, 3.04]",0.212927004719426,3.04493166798809,0.679246960737116,0.0423282685327565
"16","search_S",4,24,2.2406374211301,0.069670326332663,"[1.53, 2.95]",1.53466780259479,2.94678933897339,0.33412714726567,0.0210138972819186
